angle_deg,Al,Ag,ITO_50_nm_+_chirped_DBR,ITO_50_nm_+_plain_quarter-wave_DBR,weight
8.136201117318435649e+01,1.116059345888747956e+01,3.414093936485251835e+00,5.333300843621424647e+00,5.524675743727513577e+00,2.969818646372521243e-01
8.186424581005586276e+01,1.085755292710537390e+01,3.271570430508052851e+00,5.238439964668506477e+00,5.399362102418303166e+00,2.801962940762289245e-01
8.236648044692736903e+01,1.055484365242487144e+01,3.130445320189545466e+00,5.141696348382751580e+00,5.267854621917744673e+00,2.633246084149190591e-01
8.286871508379887530e+01,1.024983350784419756e+01,2.990988424564977599e+00,5.053272831386701469e+00,5.145930259834575082e+00,2.463719929713779067e-01
8.337094972067039578e+01,9.939249484886136798e+00,2.853276485322275846e+00,4.958967719280449771e+00,5.019326397548995899e+00,2.293436579364959704e-01
8.387318435754190205e+01,9.619137175719538746e+00,2.717199757469068722e+00,4.871411482389831349e+00,4.876135493249611486e+00,2.122448367727081120e-01
8.437541899441342252e+01,9.284776572080154722e+00,2.582466802000060735e+00,4.777487682663517532e+00,4.779925157091014398e+00,1.950807846055472028e-01
8.487765363128491458e+01,8.930531601377911244e+00,2.448602288458578968e+00,4.692390606058937763e+00,4.603584158242457036e+00,1.778567766085436264e-01
8.537988826815642085e+01,8.549598575667083367e+00,2.314930682581872734e+00,4.575912742335286332e+00,4.484198881044266116e+00,1.605781063819594345e-01
8.588212290502792712e+01,8.133596883382232079e+00,2.180534471664385965e+00,4.499477145540375922e+00,4.415080544916072824e+00,1.432500843258639744e-01
8.638435754189944760e+01,7.671904984080368806e+00,2.044165853721069404e+00,4.357338259886711640e+00,4.105714882637023777e+00,1.258780360080416216e-01
8.688659217877095386e+01,7.150567635094040142e+00,1.904067780137663757e+00,4.179076832639639250e+00,3.952389337665451752e+00,1.084673005272418222e-01
8.738882681564246013e+01,6.550445423458173266e+00,1.757602273844993679e+00,4.074264425583884019e+00,3.957847028535155243e+00,9.102322887226628467e-02
8.789106145251396640e+01,5.843948005266119239e+00,1.600422339220419765e+00,3.962564103786225811e+00,3.695346862619008910e+00,7.355118227740581327e-02
8.839329608938547267e+01,4.988937794628922617e+00,1.424403269420460028e+00,3.656057713433935596e+00,3.285295996029913290e+00,5.605653057472656520e-02
8.889553072625697894e+01,3.916499425164743364e+00,1.211498037111247150e+00,3.029255858534551926e+00,2.736705557116148047e+00,3.854465054371384453e-02
8.939776536312848521e+01,2.503944777908917452e+00,9.096649124454514457e-01,2.062062339301540259e+00,2.020440453351501908e+00,2.102092425878106935e-02
8.990000000000000568e+01,5.068784416079274990e-01,2.711806760376966885e-01,4.703989321181878402e-01,5.759652795726655228e-01,3.490737435150745131e-03
